CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
ACOMPANHAMENTOS EXECUTIVOS,Arroz à grega,ACP-ARROZ A GREGA,1572,0.0,Arroz branco refogado com uvas passas e legumes.
ACOMPANHAMENTOS EXECUTIVOS,Arroz branco,ACP-ARROZ BRANCO,18,0.0,Arroz branco.
ACOMPANHAMENTOS EXECUTIVOS,Arroz com brócolis,ACP-ARROZ BRCOLIS BCO,17,0.0,Arroz branco refogado com brócolis.
ACOMPANHAMENTOS EXECUTIVOS,Arroz cremoso,ACP-ARROZ CREMOSO,1563,0.0,"Arroz branco com molho de queijos, finalizado com salsinha fresca."
ACOMPANHAMENTOS EXECUTIVOS,Arroz integral,ACP-ARROZ INTEGRAL,27,0.0,Arroz integral.
ACOMPANHAMENTOS EXECUTIVOS,Arroz integral com brócolis,ACP-ARROZ INTGR BROC,839,0.0,Arroz integral refogado com brócolis.
ACOMPANHAMENTOS EXECUTIVOS,Arroz integral multigrãos,ACP-ARROZ INTGR GRAOS,240,0.0,"Arroz integral refogado com azeite, aveia, linhaça e gergelim."
ACOMPANHAMENTOS EXECUTIVOS,Arroz yakimeshi,ACP-ARROZ YAKIMESHI,1200,0.0,"Arroz branco com cenouras, cebola, presunto, cebolinha e ovos fritos."
ACOMPANHAMENTOS EXECUTIVOS,Baião de dois cremoso,ACP-BAIAO CREMOSO,1735,0.0,Baião de dois molhadinho no molho de queijos da casa.
ACOMPANHAMENTOS EXECUTIVOS,Baião de dois soltinho,ACP-BAIO SOLTINHO,5392,0.0,Baião de dois soltinho tradicional com feijão de corda.
ACOMPANHAMENTOS EXECUTIVOS,Batata assada com alecrim,ACP-BATATA ALECRIM,33,0.99,Batata bolinha assada com azeite de oliva e alecrim fresco.
ACOMPANHAMENTOS EXECUTIVOS,Batata com molho de queijos,ACP-BATATA M QUEIJOS,34,0.0,Batata bolinha assada e finalizada com molho de queijos.
ACOMPANHAMENTOS EXECUTIVOS,Batata doce,ACP-BATATA DOCE,80,0.0,Batata doce assada
ACOMPANHAMENTOS EXECUTIVOS,Batata frita,ACP-BATATA FRITA,1645,1.99,Batata frita.
ACOMPANHAMENTOS EXECUTIVOS,Batata palha,ACP-BATATA PALHA,1737,0.0,Batata palha.
ACOMPANHAMENTOS EXECUTIVOS,Caponata de berinjela e abrobrinha,ACP-CAPONATA BERINJ,242,0.0,"Berinjela, abobrinha, cebola, uva passas e azeitonas."
ACOMPANHAMENTOS EXECUTIVOS,Chips de batata doce,ACP-CHIPS BATATA DOCE,538,1.99,"Batata doce, óleo de coco de palma e sal marinho."
ACOMPANHAMENTOS EXECUTIVOS,Espaguete ao molho de queijos,ACP-ESPGT MLH QUEIJOS,153,0.0,Espaguete ao molho de queijos.
ACOMPANHAMENTOS EXECUTIVOS,Espaguete ao sugo,ACP-ESPGT SUGO,86,0.0,Espaguete ao molho de tomates da casa.
ACOMPANHAMENTOS EXECUTIVOS,Espaguete com manteiga de ervas,ACP-ESPGT MANT ERVAS,37,0.0,Espaguete puxado na manteiga de ervas frescas.
ACOMPANHAMENTOS EXECUTIVOS,Farofa crispy,ACP-FAROFA CRISPY,1732,0.0,Farofa temperada com cebola frita.
ACOMPANHAMENTOS EXECUTIVOS,Farofa de cuscuz com ovo,ACP-FAROFA CUSCUZ OVO,871,0.0,"Farofa de cuscuz refogada com cebolas, coentro e ovos mexidos."
ACOMPANHAMENTOS EXECUTIVOS,Farofa de Torresmo,ACP-FAROFA TORRES 3UN,5393,1.99,Farofa de Torresmo especial da Chef Van.
ACOMPANHAMENTOS EXECUTIVOS,Feijão carioca,ACP-FEIJAO CARIOCA,958,0.0,Clássico feijão carioquinha.
ACOMPANHAMENTOS EXECUTIVOS,Feijão carioca e arroz branco,ACP-ARROZ + FEIJAO,21,0.0,Feijão carioquinha e arroz branco (servido meio a meio).
ACOMPANHAMENTOS EXECUTIVOS,Feijão cremoso,ACP-FEIJAO CREMOSO,1734,0.99,Feijão com molho cremoso de queijos.
ACOMPANHAMENTOS EXECUTIVOS,Fusilli integral ao molho de queijos,ACP-FUSILLI M QUEIJOS,155,0.0,Fusilli integral ao molho de queijos.
ACOMPANHAMENTOS EXECUTIVOS,Fusilli integral ao sugo,ACP-FUSILLI SUGO,156,0.0,Fusilli integral ao molho de tomates da casa.
ACOMPANHAMENTOS EXECUTIVOS,Fusilli integral com manteiga de ervas,ACP-FUSILLI MANT ERVS,157,0.0,Fusilli integral puxado na manteiga de ervas frescas.
ACOMPANHAMENTOS EXECUTIVOS,Macaxeira Frita,ACP-MACAXEIRA FRITA,2037,1.99,Macaxeira Frita cortada em cubinhos.
ACOMPANHAMENTOS EXECUTIVOS,Mix de legumes,ACP-SELETA DE LEGUM,152,1.99,"Cenoura, brócolis, couve-flor, ervilha e vagem."
ACOMPANHAMENTOS EXECUTIVOS,Purê de batata,ACP-PURE DE BATATA,35,0.0,Purê de batata inglesa.
ACOMPANHAMENTOS EXECUTIVOS,Salada Coleslaw,ACP-SLD COLESLAW,99518,0.0,"Salada de repolho branco com cenoura ralada, molho ranch e cebolinha."
ACOMPANHAMENTOS EXECUTIVOS,Salada de grão de bico,ACP-SLD GRAO BICO,5383,0.0,"Grão de bico, cebola roxa, especiarias, coentro, sumo limão e azeite."
ACOMPANHAMENTOS EXECUTIVOS,Salada levinha com molho mostarda e mel,ACP-SLD LEVINHA GRAOS,1225,0.0,"Alface americana, tomate, cenoura, grãos assados e  molho mostarda e mel."
ACOMPANHAMENTOS EXECUTIVOS,Salada mini menu com molho caesar,ACP-SLD MENU CESAR,1223,0.0,"Alface americana temperada com molho caesar, tomate, cenoura e ricota."
CHEF MENU,Frango à parmegiana,CHEF-FGO PARMEGIANA,1549,38.9,"Filé de peito de frango empanado na farinha panko, molho de tomates frescos e queijo mussarela."
CHEF MENU,Filé de peixe à delicia,CHEF-PEIXE DELICIA,1550,49.9,"Filé de tilápia servido com molho bechamel, bananas grelhadas e finalizado com queijo mussarela."
CHEF MENU,Frango pedacinho do céu ao ranch,CHEF-FGO PED CEU,1552,37.9,"Filé de peito de frango recheado com queijo mussarela e presunto empanado na farinha panko, molho ranch, levemente cítrico e apimentado com base de maionese."
BEBIDAS,Fanta Uva 350ml,FANTA UVA - 350ML,303,7.9,Lata 350ml
BEBIDAS,Coca-Cola Original 350ml,COCA COLA LATA ORIGINAL,338,7.9,Lata 350ml
BEBIDAS,Coca-Cola sem Açúcar 350ml,COCA COLA LATA SEM ACUCAR ,339,7.9,Lata 350ml
BEBIDAS,Água Crystal sem Gás 500ml,AGUA SEM GAS - 500ML,341,5.9,Garrafa 500ml
BEBIDAS,Fanta Laranja 350ml,FANTA LARANJA - 350ML,342,7.9,Lata 350ml
BEBIDAS,Coca-Cola Original 250ml,COCA COLA MINI ORIGINAL - 250ML,352,6.9,Garrafa 250ml
BEBIDAS,Coca-Cola sem Açúcar 250ml,COCA COLA MINI SEM ACUCAR - 250ML,353,6.9,Garrafa 250ml
BEBIDAS,Coca-Cola Original 600ml,COCA COLA 600ML ORIGINAL,394,9.9,Garrafa 600ml
BEBIDAS,Coca-Cola sem Açúcar 600ml,COCA COLA 600ML SEM ACUCAR,395,9.9,Garrafa 600ml
EXTRAS MENU BRANDS,Kit Descartável,KIT DESCARTAVEL,404,1.9,Contém um talher descartável (garfo e faca) e um guardanapo.
CHEF MENU,Panqueca de ricota com espinafre,CHEF-PANQ RICOTA,1553,34.9,"Panquecas de ricota e espinafre, finalizadas com o  molho de tomates frescos e salsinha."
CHEF MENU,Creme de frango,CHEF-CREME DE FRANGO,1554,34.9,Creme de frango desfiado. 
CHEF MENU,Frango crocante teriyaki,CHEF-FGO CROC TERYAKI,1556,38.9,"Filé de peito de frango empanado na farinha panko, molho agridoce a base de shoyu e gengibre, finalizado com mix de gergelim."
CHEF MENU,Vatapá de frango,CHEF-VATAPA FGO,1557,34.9,Vatapá de frango. 
CHEF MENU,Frango grelhado ao molho de queijos,CHEF-FGO MLHO QUEIJOS,1558,37.9,"Filé de peito frango em tiras, molho de queijos e salsinha fresca."
CHEF MENU,Frango grelhado teriyaki,CHEF-FGO GREL TERYIAK,1651,37.9,"Filé de peito frango em tiras, molho agridoce a base de shoyu e gengibre, finalizado com mix de gergelim."
CHEF MENU,Lombo suíno com batatas assadas,CHEF-SUINO NATALINO,1911,0.0,"Suculento lombo suíno com batatas assadas, acompanhado de farofa crocante de torresmo e arroz à grega."
CHEF MENU,Sobrecoxa de natal da Van,CHEF-SOBRECX NATALINA,1912,38.9,"Sobrecoxa assada sobre farofa natalina especial, acompanhada de arroz soltinho e do famoso salpicão de frango da Chef Van."
MENU  B&B,Frango empanado executivo,EXC-FRANGO CROC TRADI,1746,29.9,Servido com arroz com feijão e farofinha crispy. 
MENU EXECUTIVOS,Salmão na manteiga de ervas,EXC-SALMAO MANTEIGA,5,64.9,Filé de salmão finalizado com clássica manteiga de ervas frescas.
MENU EXECUTIVOS,Salmão teriyaki,EXC-SALMAO TERYIAKI,187,64.9,"Filé de salmão chileno finalizado com molho teriyaki, mix de gergelim e cebolinha fresca."
